Year,Game #,Date,Opponent,Score BG,Score Font,Rank BG,Rank Font
2020-21,g10,2/14/21,at Wisconsin,,,,
2020-21,g11,2/18/21,Rutgers,,,,
2020-21,g12,2/21/21,at Ohio State,,,,
2020-21,g13,2/25/21,Iowa,,,,
2020-21,g14,2/27/21,at Indiana,,,,
2020-21,g15,3/2/21,Illinois,,,,
2020-21,g16,3/4/21,Michigan State,,,,
2020-21,g17,3/7/21,at Michigan State,,,,
2020-21,BTT Quarters,3/12/21,vs. Maryland,,,,
2020-21,BTT Semis,3/13/21,vs. Ohio State,,,,
2020-21,NCAA Round 1,3/20/21,vs. Texas Southern,,,,
2020-21,NCAA Round 2,3/22/21,vs. Louisiana State,,,,
2020-21,NCAA Sweet Sixteen,3/28/21,vs. Florida State,,,,
2020-21,NCAA Elite Eight,3/30/21,vs. UCLA,,,,
2021-22,nc1,11/10/21,Buffalo,,,,
2021-22,nc2,11/13/21,vs. Prairie View A&M,,,,
2021-22,NC3,11/16/21,Seton Hall,,,,
2021-22,nc4,11/20/21,vs. Unlv,,,,
2021-22,NC5,11/21/21,vs. Arizona,,,,
2021-22,nc6,11/24/21,Tarleton State,,,,
2021-22,NC7,12/1/21,at North Carolina,,,,
2021-22,nc8,12/4/21,San Diego State,,,,
2021-22,g1,12/7/21,at Nebraska,,,,
2021-22,g2,12/11/21,Minnesota,,,,
2021-22,nc9,12/18/21,Southern Utah,,,,
2021-22,nc10,12/30/21,at Central Florida,,,,
2021-22,g3,1/4/22,at Rutgers,,,,
2021-22,g4,1/14/22,at Illinois,,,,
2021-22,g5,1/18/22,Maryland,,,,
2021-22,g6,1/23/22,at Indiana,,,,
2021-22,g7,1/26/22,Northwestern,,,,
2021-22,g8,1/29/22,at Michigan State,,,,
2021-22,g9,2/1/22,Nebraska,,,,
2021-22,g10,2/5/22,at Purdue,,,,
2021-22,g11,2/8/22,at Penn State,,,,
2021-22,g12,2/10/22,Purdue,,,,
2021-22,g13,2/12/22,Ohio State,,,,
2021-22,g14,2/17/22,at Iowa,,,,
2021-22,g15,2/20/22,at Wisconsin,,,,
2021-22,g16,2/23/22,Rutgers,,,,
2021-22,g17,2/27/22,Illinois,,,,
2021-22,g18,3/1/22,Michigan State,,,,
2021-22,g19,3/3/22,Iowa,,,,
2021-22,g20,3/6/22,at Ohio State,,,,
2021-22,BTT Round 2,3/10/22,vs. Indiana,,,,
2021-22,NCAA Round 1,3/17/22,vs. Colorado State,,,,
2021-22,NCAA Round 2,3/19/22,vs. Tennessee,,,,
2021-22,NCAA Sweet Sixteen,3/24/22,vs. Villanova,,,,
2022-23,nc1,11/7/22,Purdue Fort Wayne,,,,
2022-23,nc2,11/11/22,vs. Eastern Michigan,,,,
2022-23,NC3,11/16/22,vs. Pittsburgh,,,,
2022-23,NC4,11/17/22,vs. Arizona State,,,,
2022-23,nc5,11/20/22,Ohio,,,,
2022-23,nc6,11/23/22,Jackson State,,,,
2022-23,NC7,11/29/22,Virginia,,,,
